,logs
49,"The monster in the book Frankenstein is actually called monster while Dr. Frankenstein being ""its"" creator and protagonist of the story."
50,tea is pretty tasty
51,tea is pretty tasty
52,sharks are pretty cool
53,only ~10 people a year die cause a shark eats them
54,the random module is one of the most useful yet annoying modules in existence
55,the sun is big
56,Please what are the arena rules?
57,to calculate the average atomic mass of an element you can use isotopes and abundance. The equation looks like this: isotope1mass times isotope2abundance+isotope2mass times isotope2abundance
58,im gonna log some info
59,atoms are small
60,hi everyone
61,where is the game bot
62,1=1
63,2=2
64,3=3
65,4=4
66,5=5
67,5=5
68,6=6
69,7=7
70,8=8
71,9=9
72,the try method in python is more useful than i thought
73,why are the spark+ roles so hard to get?
74,this way I aam going to log every messaege
75,"else I ""won"" get the role"
76,plant and animal cells take around 10-20 hours to duplicate
77,<checklogs ramdom
78,to log or not to log
79,the server is actually 1 year old in 12 days
80,we need water to live
81,https://cdn.discordapp.com/attachments/811132902397050931/811647148222447696/video0.mp4
82,81
83,xD is a way of expressing laughter or amusement other abbreviations that suggest amusement include lol kekw and lmao
84,the command <checklogs random is not actualy fully random but pseudo random pure randomness is almost impossible to achieve
85,there is no such thing as random
86,wozard is gone
87,oxygen is an element
88,testing
89,the plural name for octopus is being debated because of the latin roots
90,the plural of octopus is octopuses although etymologically it should be octopodes and sometimes octipi occurs as a hypercorrection
91,Octopus has at least 3 plural terms
92,the PIE thematic vowel ablauts differently as compared to a regular PIE vowel
